ef7d6a2b557.xyz	106693	84.08	89707.4744
577gc.com	85986	98.72	84885.3792
1024hgc.com	107562	74.55	80187.471
pix378.pw	77819	97.09	75554.4671
91rsxmza.net	77828	94.73	73726.4644
a6def2ef910.pw	70010	92.14	64507.214
fwymdscj.pw	88352	71.95	63569.264
wkcsncjdbd.xyz	66830	95	63488.5
wcnnedrb.top	62265	95.81	59656.0965
sdccbly.xyz	59711	95.89	57256.8779
91sgc.rocks	117386	42.6	50006.436
91rsxmza.club	54612	82.25	44918.37
1024hegongchang.org	48765	91.95	44839.4175
stv919.rocks	33841	100	33841
nat789.biz	37851	82.47	31215.7197
99oi.mobi	69958	42.69	29865.0702
uk1024.net	26290	91.99	24184.171
cnmbtgf.pw	24712	92.4	22833.888
c2048ao.pw	20292	99.7	20231.124
91rsxmza.pw	18157	96.72	17561.4504
afulyu.rocks	18799	89.65	16853.3035
917rbb.org	17327	83.99	14552.9473
luj8le.pw	14472	94.11	13619.5992
hebt1024.com	13653	95.66	13060.4598
1024mx.bid	11451	98.15	11239.1565
skswk9.com	10610	86.04	9128.844
2048xd.org	10966	73.64	8075.3624
99oi.com	7871	96.09	7563.2439
1024hegongchang.com	8074	92.67	7482.1758
1024hegongchang.info	7072	90.99	6434.8128
vtx9c.net	6593	85.75	5653.4975
clsmik.com	5264	97.58	5136.6112
yakexi1024.com	6912	64.82	4480.3584
xp1024.club	5095	86.94	4429.593
97ro.org	5609	72.06	4041.8454
uptorrentfilespacedownhostabc.space	8561	35.5	3039.155

草榴社區	52953002
t66y.com	41800000	62.64	26183520
viidii.info	15890000	80.34	12766026
rmdown.com	5003000	77.38	3871321.4
etet.men	3354000	91.18	3058177.2
flexui.win	2126000	96.72	2056267.2
xn--5uw.ml	2026000	97.4	1973324
g4z.xyz	2062000	91.92	1895390.4
wpio.xyz	636218	94.7	602498.446
caoliu2066.com	296691	95.59	283606.9269
7e4.site	265982	98.83	262870.0106

Pornhub	52752000
pornhub.com	3360000000	1.57	52752000

JavBus	35161007
javbus.com	13870000	39.5	5478650
dmmbus.co	3839000	97.57	3745712.3
busjav.men	3429000	94.56	3242462.4
seedmm.net	2938000	95.94	2818717.2
busjav.us	2560000	96.83	2478848
xwb2uooia5o59avwxb.com	2549000	94.46	2407785.4
dmmbus.bid	2521000	92.87	2341252.7
dmmsee.men	2257000	95.16	2147761.2
busdmm.net	1928000	92.66	1786484.8
javbus.zone	1937000	90.16	1746399.2
javbus.life	1489000	97.59	1453115.1
dmmbus.men	1193000	94.73	1130128.9
